,id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
2694,tm348845,Marc Maron: Too Real,MOVIE,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world.",2017,,70,['comedy'],['US'],,tt7335938,7.2,1916.0,4.172,6.8
2695,tm353627,Christina P: Mother Inferior,MOVIE,"Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth.",2017,,59,['comedy'],['US'],,tt7057376,6.4,941.0,4.556,6.1
2696,ts84200,Best.Worst.Weekend.Ever.,SHOW,"Teenage friends plan an epic trip to Comic-Con to meet their idol, only to get caught in one hilariously awkward predicament after another.",2018,TV-PG,25,"['comedy', 'family']",['US'],1.0,tt7768010,6.4,297.0,5.331,8.0
2698,tm439854,Baazaar,MOVIE,"After moving to Mumbai, an ambitious young man becomes the stock trader for a notorious businessman.",2018,,140,"['drama', 'crime', 'thriller']",['IN'],,tt6519690,6.5,5270.0,2.84,6.4
2699,tm299396,Getaway Plan,MOVIE,A thief expert with blowtorch is hired by a group of the Russian mob for a bank assault.,2017,,105,"['thriller', 'crime', 'drama', 'action', 'european']",['ES'],,tt5003186,5.6,1850.0,7.942,5.5
2700,tm300447,Bill Burr: Walk Your Way Out,MOVIE,"No-nonsense comic Bill Burr takes the stage in Nashville and riffs on fast food, overpopulation, dictators and gorilla sign language.",2017,,77,"['comedy', 'documentation']",['US'],,tt6184894,7.2,7123.0,5.351,6.7
2702,tm306631,Trevor Noah: Afraid of the Dark,MOVIE,Trevor Noah stars in his first Netflix special.,2017,PG-13,68,['comedy'],['US'],,tt6562866,7.2,5121.0,5.055,7.1
2704,tm414595,Period. End of Sentence.,MOVIE,"In an effort to improve feminine hygiene, a machine that creates low-cost biodegradable sanitary pads is installed in a rural village in Northern India. Using the machine, a group of local women is employed to produce and sell pads, offering them newfound independence and helping to destigmatize menstruation for all.",2018,,26,['documentation'],['US'],,,,,6.085,8.0
2705,tm353247,Qarib Qarib Singlle,MOVIE,"Yogi and Jaya, who have polar opposite personalities and sensibilities, meet via an online dating app. This encounter turns into so much more when the two travel to Rishikesh.",2017,,125,"['drama', 'romance', 'comedy']",['IN'],,tt7399470,7.1,8203.0,3.6289999999999996,7.2
2710,tm372610,Derren Brown: Miracle,MOVIE,"Illusionist Derren Brown reinvents the concept of ""faith healing"" through a series of stunts that debunk the confines of fear, pain and disbelief.",2018,,73,['documentation'],['GB'],,tt8599562,6.5,1031.0,3.147,6.5
2712,ts76949,Trailer Park Boys: Out of the Park: USA,SHOW,"The boys are back on the loose as Bubbles, Julian and Ricky head south of the Canadian border for some outrageous American adventures.",2017,TV-MA,29,['comedy'],['CA'],1.0,,,,2.798,7.5
2713,tm307843,Angamaly Diaries,MOVIE,Six young friends in the small town of Angamaly tries their luck by starting a pork business lead by Vincent Pepe. They initially strike a business deal with Rajan and Ravi despite the duo having killed a close friend of theirs in a gang fight. Vincent is in love with Sakhi and plan to immigrate abroad with her. But their plans hit a road bump as the deal with the gangsters hits some road bumps.,2017,,132,"['action', 'drama', 'comedy', 'thriller']",['IN'],,tt6167894,8.0,5901.0,3.1719999999999997,7.3
2715,ts82843,The Curious Creations of Christine McConnell,SHOW,"Wickedly talented baker and artist Christine McConnell fills her home with haunting confections, creepy crafts -- and wildly inappropriate creatures.",2018,TV-PG,27,"['reality', 'comedy', 'horror']",['US'],1.0,tt8773080,7.7,2391.0,2.45,7.3
2717,tm358609,Sara's Notebook,MOVIE,"Laura has spent years looking for her sister Sara who went missing in the depths of the jungle in the Congo. Neither the NGO she works for, nor the embassy, have news on her whereabouts until a photo appears of Sara in a mining town. Apparently, Sara is being held captive by The Hawk, the fearsome rebel leader who controls the mafias behind the prized mineral coltan.",2018,R,115,"['thriller', 'drama', 'european']",['ES'],,tt6599742,5.9,2699.0,6.126,6.1
2718,ts75887,Paul Hollywood's Big Continental Road Trip,SHOW,Paul Hollywood who is an actor and a baker from Liverpool tries to find out how the most popular cars of the three big European countries express their nation's identities and the connections with their cultures.,2017,TV-14,58,"['documentation', 'european']",['GB'],1.0,tt7936386,7.4,206.0,1.817,6.0
2719,tm376421,HiGH&LOW The Movie 2: End of Sky,MOVIE,"Members of SWORD win against Wangan Rengogun, which is led by Kohaku (Akira). The city becomes peaceful again.  Nevertheless, the most brutal gangs, Doubt and Prison Gang, appear. They try to dominate the area controlled by SWORD.",2017,,124,['action'],['JP'],,tt7099076,7.1,396.0,4.613,7.7
2721,tm319310,CIA: Comrade In America,MOVIE,"A young Aji Mathew is a communist who goes the whole nine yards for the ideologies he believes in. When the girl he loves leaves to the US out of the blue and her parents fix her wedding, Aji is left with just a fortnight to reach the country albeit with no passport or visa. How far he is willing to go for love forms the plot.",2017,,134,"['romance', 'drama', 'action']",['IN'],,tt5925772,6.4,3064.0,3.241,6.0
2723,tm447328,ReMastered: Who Killed Jam Master Jay?,MOVIE,Run-D.M.C. DJ Jam Master Jay made a huge impact in music and his community. But friends and family still seek closure years after his unsolved murder.,2018,,58,"['music', 'documentation']",['US'],,tt9399094,6.5,768.0,2.67,6.5
2724,tm233345,Love Beats Rhymes,MOVIE,"A young woman dreams of making it big in the world of hip hop, but her parents demand that she finish her university degree. She dutifully agrees to complete her education, but her spoken word proves to have a powerful impact in the classroom.",2017,R,105,['drama'],['US'],,tt4721022,5.4,1057.0,9.665,5.7
2725,tm283322,Burning Sands,MOVIE,"Deep into Hell Week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",2017,,105,"['drama', 'thriller', 'action']",['US'],,tt6148014,6.0,2828.0,11.741,5.8
2726,tm358813,Judd Apatow: The Return,MOVIE,"Renowned producer, director and writer Judd Apatow makes his long-awaited return to stand-up comedy with this new special shot in Montreal.",2017,,69,['comedy'],['US'],,tt7741238,6.2,1321.0,5.146,6.2
2728,tm429186,Up Among the Stars,MOVIE,"Víctor is a film director who is overcome by his own misfortunes. He is an alcoholic, unemployed and terribly depressed, largely because of the death of his wife. However, Victor is still the best in one thing: telling fantastic stories to his nine-year-old son, Ingmar. These stories are each of the scripts he dreams of directing in the future, when he gathers all the necessary resources. Victor and Ingmar share a present full of sadness and precariousness, but also full of robots and locations of films they have seen together. Despite forming a great team, their problems will multiply when others begin to question their role as a father.",2018,,86,"['drama', 'european']",['ES'],,tt6984530,6.2,496.0,5.1160000000000005,5.8
2732,tm538868,III Smoking Barrels,MOVIE,"An anthology of three stories; each exploring a different stage in life - A CHILD involved in armed conflicts, a BOY in drug peddling and a MAN entangled in elephant poaching.",2017,,127,['drama'],['IN'],,tt5791986,6.6,123.0,0.6,8.0
2733,tm423761,Iliza Shlesinger: Elder Millennial,MOVIE,"Filmed February 23, 2018, aboard the USS Hornet, comedian Iliza Shlesinger brings an ‘elder millennial’ perspective to her audience. Recently engaged, she dives into undeniable truths about life at age 35. Looking back at the insanity of the road traveled and what’s to come, Iliza talks first apartments, a woman's inner she dragon, peacock mating calls, and her newfound urge to squeeze a chubby baby leg.",2018,,72,['comedy'],['US'],,tt8697266,7.2,4033.0,5.896,7.2
