ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,AM,1301159,13094211,municipal,fundamental,iniciais (1-5),97.8,0.98211497,188.8,187.27,4.9721971,4.9,
2019,ES,3205101,32037732,municipal,fundamental,iniciais (1-5),94.2,0.94087797,201.83,201.44,5.478507,5.2,5.5
2019,SP,3550100,35214188,municipal,fundamental,iniciais (1-5),98.6,0.98805499,241.67,229.32,6.7457209,6.7,7.0
2019,GO,5218805,52096599,municipal,fundamental,iniciais (1-5),100.0,1.0,272.79,255.67,7.818696,7.8,7.3
2019,RS,4305405,43170005,municipal,fundamental,iniciais (1-5),100.0,1.0,210.69,206.41,5.7379541,5.7,5.8
2019,RS,4304606,43038689,municipal,fundamental,iniciais (1-5),97.1,0.96967697,200.44,195.86,5.3505158,5.2,6.3
2019,MT,5104542,51201801,estadual,fundamental,iniciais (1-5),98.6,0.98827499,201.83,197.8,5.4123249,5.3,5.5
2019,SP,3554508,35430225,municipal,fundamental,iniciais (1-5),99.8,0.99798399,268.26,245.02,7.538609,7.5,6.3
2019,RN,2414209,24062910,municipal,fundamental,iniciais (1-5),85.0,0.85124999,182.33,173.82,4.6039972,3.9,
2019,SP,3550308,35048665,estadual,fundamental,iniciais (1-5),100.0,1.0,253.55,240.24,7.1709838,7.2,6.2
2019,MG,3170206,31207403,estadual,fundamental,iniciais (1-5),100.0,1.0,258.05,255.22,7.529407,7.5,6.6
2019,PA,1502103,15070921,municipal,fundamental,iniciais (1-5),77.3,0.75502002,151.57,140.88,3.418246,2.6,4.0
2019,SP,3548807,35430651,municipal,fundamental,iniciais (1-5),97.6,0.97632599,258.26,234.42,7.1552329,7.0,8.3
2019,TO,1718501,17031257,municipal,fundamental,iniciais (1-5),97.1,0.980371,164.44,155.27,3.925684,3.8,
2019,PI,2203107,22063072,municipal,fundamental,iniciais (1-5),64.8,0.58832598,198.3,191.41,5.2287769,3.1,6.1
2019,PI,2200400,22018018,municipal,fundamental,iniciais (1-5),100.0,1.0,235.41,233.07,6.694437,6.7,5.2
