ano,sigla_uf,id_municipio,id_escola,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2019,RS,4320008,43146279,municipal,fundamental,iniciais (1-5),90.8,0.90320402,230.19,228.61,6.5137281,5.9,5.5
2019,BA,2905701,29176093,municipal,fundamental,iniciais (1-5),92.4,0.93018198,219.17,209.13,5.9492412,5.5,5.4
2019,PR,4109609,41139682,municipal,fundamental,iniciais (1-5),88.4,0.884413,226.03,218.82,6.2563391,5.5,5.5
2019,BA,2923704,29045568,municipal,fundamental,iniciais (1-5),81.5,0.79357803,149.05,139.21,3.3396089,2.7,4.1
2019,MG,3132404,31055476,estadual,fundamental,iniciais (1-5),99.7,0.997168,234.97,226.33,6.5634952,6.5,7.1
2019,ES,3205101,32037740,municipal,fundamental,iniciais (1-5),95.2,0.95160699,236.25,217.05,6.4191861,6.1,5.7
2019,PR,4102505,41015371,municipal,fundamental,iniciais (1-5),89.3,0.88385999,212.41,203.21,5.7125969,5.0,6.1
2019,RJ,3300456,33047774,municipal,fundamental,iniciais (1-5),87.9,0.87690401,186.91,179.02,4.786128,4.2,5.8
2019,ES,3200904,32001410,municipal,fundamental,iniciais (1-5),89.0,0.88268203,251.21,236.5,7.0581369,6.2,4.7
2019,RN,2408102,24285331,municipal,fundamental,iniciais (1-5),96.7,0.96167701,208.72,202.46,5.628541,5.4,5.3
2019,SP,3546306,35416848,municipal,fundamental,iniciais (1-5),100.0,1.0,246.19,231.82,6.877244,6.9,6.4
2019,BA,2906824,29117046,municipal,fundamental,iniciais (1-5),86.3,0.87770301,185.82,181.89,4.8175092,4.2,5.0
2019,MG,3170107,31160148,estadual,fundamental,iniciais (1-5),99.7,0.99614102,203.38,199.55,5.4739051,5.5,6.6
2019,RN,2414209,24062928,municipal,fundamental,iniciais (1-5),84.7,0.87385899,178.86,167.16,4.4166842,3.9,4.0
2019,RS,4320321,43067085,municipal,fundamental,iniciais (1-5),98.2,0.981489,214.16,213.13,5.9263568,5.8,5.9
2019,MS,5005400,50018086,municipal,fundamental,iniciais (1-5),94.1,0.94464397,243.38,235.49,6.8903461,6.5,5.7
2019,MG,3169406,31260720,municipal,fundamental,iniciais (1-5),99.2,0.99251699,213.77,199.24,5.6661782,5.6,6.4
2019,AM,1300680,13039180,municipal,fundamental,iniciais (1-5),85.5,0.83343703,181.66,166.1,4.4508471,3.7,4.2
2019,MG,3101904,31114839,municipal,fundamental,iniciais (1-5),99.3,0.99510598,226.55,217.75,6.2466168,6.2,6.5
2019,BA,2927408,29190231,municipal,fundamental,iniciais (1-5),100.0,1.0,262.27,226.44,7.0864868,7.1,5.4
2019,SP,3551207,35219368,municipal,fundamental,iniciais (1-5),95.6,0.95074099,243.85,226.17,6.730042,6.4,5.7
2019,MA,2112506,21268916,municipal,fundamental,iniciais (1-5),88.1,0.86234099,185.22,186.24,4.8849669,4.2,4.0
2019,PI,2210607,22072284,municipal,fundamental,iniciais (1-5),98.8,0.989425,190.63,180.6,4.8858571,4.8,4.4
2019,PI,2208650,22098950,municipal,fundamental,iniciais (1-5),91.4,0.917274,168.71,161.94,4.1282549,3.8,4.6
2019,MG,3106705,31011339,municipal,fundamental,iniciais (1-5),94.1,0.94127399,242.19,226.47,6.7038169,6.3,6.4
2019,SP,3550407,35223128,municipal,fundamental,iniciais (1-5),91.6,0.91187698,213.86,198.99,5.6633501,5.2,5.4
2019,SP,3552205,35903255,estadual,fundamental,iniciais (1-5),99.3,0.99130797,246.38,214.97,6.5748792,6.5,6.0
2019,RR,1400159,14002566,municipal,fundamental,iniciais (1-5),91.0,0.87928998,153.14,149.71,3.608763,3.2,
2019,ES,3205309,32066031,municipal,fundamental,iniciais (1-5),97.3,0.973068,220.69,202.72,5.8618851,5.7,6.3
2019,SC,4207007,42013160,municipal,fundamental,iniciais (1-5),100.0,1.0,224.35,207.69,6.0219049,6.0,6.8
2019,MG,3109006,31008231,municipal,fundamental,iniciais (1-5),93.6,0.93527597,259.27,235.91,7.2015991,6.7,6.6
2019,MG,3136702,31235270,municipal,fundamental,iniciais (1-5),94.8,0.952187,230.63,215.63,6.285934,6.0,6.3
2019,SP,3550308,35923667,estadual,fundamental,iniciais (1-5),96.4,0.94951999,221.72,207.97,5.9766231,5.7,5.8
2019,PI,2202208,22034030,estadual,fundamental,iniciais (1-5),96.5,0.96426702,257.54,251.13,7.4453111,7.2,5.6
2019,RS,4310405,43076076,estadual,fundamental,iniciais (1-5),97.0,0.97380298,247.97,235.05,6.9701228,6.8,6.6
2019,BA,2933158,29080347,municipal,fundamental,iniciais (1-5),81.0,0.80499399,189.96,164.8,4.5856071,3.7,3.9
2019,AM,1304203,13013815,estadual,fundamental,iniciais (1-5),81.6,0.78883499,165.47,166.1,4.1418772,3.3,6.1
2019,RS,4307559,43059759,municipal,fundamental,iniciais (1-5),97.8,0.97394001,261.32,250.82,7.5116301,7.3,7.3
2019,SP,3536505,35213603,municipal,fundamental,iniciais (1-5),98.2,0.98281699,262.73,248.94,7.5041661,7.4,6.5
2019,MG,3149408,31069426,municipal,fundamental,iniciais (1-5),87.4,0.88386703,261.64,229.82,7.1359191,6.3,6.0
2019,SE,2803302,28015002,estadual,fundamental,iniciais (1-5),98.2,0.982364,220.39,200.11,5.8087049,5.7,4.3
2019,PE,2615300,26091887,municipal,fundamental,iniciais (1-5),90.8,0.89745098,184.46,179.05,4.7399182,4.3,4.5
2019,TO,1702554,17001048,estadual,fundamental,iniciais (1-5),87.2,0.86992598,242.13,221.24,6.6073999,5.7,6.3
2019,PA,1500800,15515613,estadual,fundamental,iniciais (1-5),99.6,0.99066401,199.24,194.72,5.306706,5.3,4.7
2019,RS,4314050,43169570,municipal,fundamental,iniciais (1-5),97.3,0.972251,238.25,227.5,6.6473541,6.5,6.7
2019,RJ,3305000,33013500,municipal,fundamental,iniciais (1-5),92.2,0.91432798,261.14,248.67,7.469286,6.8,7.2
2019,BA,2913101,29340802,municipal,fundamental,iniciais (1-5),98.1,0.984945,182.72,178.02,4.6881762,4.6,3.8
2019,SC,4217402,42140692,municipal,fundamental,iniciais (1-5),98.4,0.983787,256.86,233.33,7.1086969,7.0,6.6
2019,PA,1505601,15062090,municipal,fundamental,iniciais (1-5),73.1,0.71977597,191.11,182.64,4.9322901,3.6,4.9
2019,RS,4317202,43126553,estadual,fundamental,iniciais (1-5),92.7,0.92847401,230.83,224.94,6.4592052,6.0,6.6
2019,MA,2102101,21137960,municipal,fundamental,iniciais (1-5),90.7,0.89873999,160.24,134.97,3.4762499,3.1,4.9
2019,RJ,3302502,33053499,municipal,fundamental,iniciais (1-5),94.3,0.94476801,228.77,219.03,6.312438,6.0,5.5
2019,RN,2412203,24067512,municipal,fundamental,iniciais (1-5),87.0,0.88065398,199.63,184.11,5.1214309,4.5,4.5
2019,BA,2917805,29468272,municipal,fundamental,iniciais (1-5),85.3,0.85240901,187.41,174.22,4.7082162,4.0,4.0
2019,AC,1200500,12031720,municipal,fundamental,iniciais (1-5),99.1,0.99364197,230.66,214.44,6.2648702,6.2,5.2
2019,SP,3525300,35579877,municipal,fundamental,iniciais (1-5),95.5,0.95803702,238.44,212.0,6.3691621,6.1,6.5
2019,MS,5002704,50005880,estadual,fundamental,iniciais (1-5),92.3,0.92296898,257.76,242.28,7.2886,6.7,5.5
2019,BA,2925808,29122350,municipal,fundamental,iniciais (1-5),91.2,0.89574802,201.03,180.0,5.073421,4.5,4.8
2019,SP,3542602,35278130,municipal,fundamental,iniciais (1-5),99.4,0.99258602,247.47,227.55,6.8244081,6.8,6.6
2019,RS,4304705,43039472,municipal,fundamental,iniciais (1-5),92.2,0.927984,231.24,243.94,6.8124838,6.3,5.8
2019,AL,2707206,27006859,municipal,fundamental,iniciais (1-5),98.7,0.98707902,195.36,173.94,4.8550239,4.8,4.1
2019,MG,3134202,31196541,estadual,fundamental,iniciais (1-5),98.8,0.98695302,223.3,198.49,5.8344121,5.8,5.6
2019,DF,5300108,53009797,estadual,fundamental,iniciais (1-5),97.3,0.98075902,233.33,203.97,6.1254611,6.0,6.4
2019,AM,1300607,13069616,municipal,fundamental,iniciais (1-5),96.9,0.97088802,175.02,161.94,4.2488651,4.1,4.3
2019,RN,2403251,24082007,municipal,fundamental,iniciais (1-5),96.0,0.959234,197.35,185.1,5.0957289,4.9,4.5
2019,MA,2100600,21092265,municipal,fundamental,iniciais (1-5),95.6,0.96036202,172.0,146.63,3.912868,3.8,4.7
2019,RS,4310207,43075053,estadual,fundamental,iniciais (1-5),93.9,0.94101101,249.13,245.5,7.18226,6.8,5.7
2019,RO,1100122,11047658,municipal,fundamental,iniciais (1-5),93.9,0.94750899,254.72,235.38,7.1047578,6.7,
2019,BA,2907509,29359821,municipal,fundamental,iniciais (1-5),86.9,0.83903402,191.44,182.55,4.9365792,4.1,4.6
2019,SC,4205407,42115345,municipal,fundamental,iniciais (1-5),100.0,1.0,244.0,239.99,6.9839959,7.0,6.1
2019,MG,3167202,31145262,municipal,fundamental,iniciais (1-5),100.0,1.0,232.61,225.13,6.496448,6.5,6.5
2019,BA,2933307,29446210,municipal,fundamental,iniciais (1-5),89.5,0.919442,230.28,229.0,6.5225358,6.0,5.5
2019,RS,4318903,43141021,municipal,fundamental,iniciais (1-5),86.5,0.84470999,230.44,217.39,6.3146811,5.3,5.2
2019,SP,3527900,35215855,municipal,fundamental,iniciais (1-5),93.9,0.94211799,248.82,221.49,6.7396169,6.3,6.3
2019,PE,2608909,26069261,municipal,fundamental,iniciais (1-5),100.0,1.0,203.52,198.27,5.4531131,5.5,4.2
2019,PA,1501402,15039153,federal,fundamental,iniciais (1-5),100.0,1.0,253.42,240.67,7.1765032,7.2,7.5
2019,GO,5217203,52005763,estadual,fundamental,iniciais (1-5),100.0,1.0,221.13,215.57,6.1035452,6.1,6.1
2019,AM,1303809,13096672,estadual,fundamental,iniciais (1-5),86.9,0.85533297,186.44,190.38,4.9838948,4.3,5.2
2019,PR,4107108,41000510,municipal,fundamental,iniciais (1-5),98.2,0.98381603,256.86,228.55,7.0217881,6.9,6.1
